"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV76",100.354008320057,0.0642924938132114,3.92879608137097,0.016364426272482,0.986943659669298,0.997789194390938,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV2023",1.00319434601619,5.11007327013457,3.9482833878607,1.29425189839359,0.195578425562261,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV4",41084.5659086454,-2.65079660299931,0.586196865170323,-4.52202452878882,6.12509596764521e-06,2.81754414511679e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella sp.","Escherichia-Shigella",NA,"Low"
"ASV1145",1.00319434601619,5.11007327013457,3.9482833878607,1.29425189839359,0.195578425562261,0.35428996376376,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV57",3539.27517383185,1.28325721469643,3.09462893025811,0.414672402933104,0.678381737480511,0.776901906824153,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus delbrueckii","Lactobacillus","delbrueckii","NS"
"ASV219",0.990121203178928,5.08630207567349,3.94844241579753,1.28817937304175,0.197683530505866,0.35428996376376,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV11",2882.27801428188,0.976963427625421,1.70342553594338,0.573528696741277,0.566286774645732,0.688524888996573,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV207",222.09653680491,2.77986944099152,3.69225803804423,0.75289143184153,0.451515157309204,0.593951493882615,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Shuttleworthia sp.","Shuttleworthia",NA,"NS"
"ASV226",66.9882430469611,28.8370418790166,3.93952764484835,7.31992372657324,2.48111937895864e-13,5.70657457160488e-12,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus sp.","Peptococcus",NA,"High"
"ASV184",407.371346951716,4.69748107957957,3.4704656310718,1.35355931420903,0.175877014575797,0.35428996376376,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
