"","Prevalence_Ascaris","AscAbundance","Prevalence_Jej","JejAbundance","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalReads","Rel_abund","Rel_prev","Rel_prev_Ascaris","Rel_prev_Jej","Rel_abund_Ascaris","Rel_abund_Jej"
"ASV944",0,0,3,70.0894872717704,3,70.0894872717704,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.00700894872717704,5.35714285714286,0,33.3333333333333,0,0.00700894872717704
"ASV960",1,175.223409847556,2,69.6962407213447,3,244.9196505689,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.02449196505689,5.35714285714286,2.12765957446809,22.2222222222222,0.0175223409847556,0.00696962407213447
"ASV99",3,34128.5935033261,4,34501.2908855954,7,68629.8843889215,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,1e+06,6.86298843889215,12.5,6.38297872340426,44.4444444444444,3.41285935033261,3.45012908855954
"ASV970",0,0,2,141.814698965075,2,141.814698965075,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0141814698965075,3.57142857142857,0,22.2222222222222,0,0.0141814698965075
"ASV238",3,2429.04768667245,4,2985.46466691043,7,5414.51235358288,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.541451235358288,12.5,6.38297872340426,44.4444444444444,0.242904768667245,0.298546466691043
"ASV29",24,447802.483258725,5,31007.7797724424,29,478810.263031167,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","pontis",1e+06,47.8810263031167,51.7857142857143,51.063829787234,55.5555555555556,44.7802483258725,3.10077797724424
"ASV855",0,0,2,51.1880045562512,2,51.1880045562512,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00511880045562512,3.57142857142857,0,22.2222222222222,0,0.00511880045562512
"ASV176",1,639.795265515035,2,626.772341120039,3,1266.56760663507,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema",NA,1e+06,0.126656760663507,5.35714285714286,2.12765957446809,22.2222222222222,0.0639795265515035,0.0626772341120039
"ASV1328",0,0,3,169.627288310717,3,169.627288310717,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia",NA,1e+06,0.0169627288310717,5.35714285714286,0,33.3333333333333,0,0.0169627288310717
"ASV108",5,8232.31799053165,3,1877.94644365149,8,10110.2644341831,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,1e+06,1.01102644341831,14.2857142857143,10.6382978723404,33.3333333333333,0.823231799053165,0.187794644365149
"ASV45",17,303949.492151578,5,39568.9500945521,22,343518.44224613,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia","suis",1e+06,34.351844224613,39.2857142857143,36.1702127659575,55.5555555555556,30.3949492151578,3.95689500945521
"ASV455",0,0,3,496.73775703362,3,496.73775703362,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora",NA,1e+06,0.049673775703362,5.35714285714286,0,33.3333333333333,0,0.049673775703362
"ASV457",1,65.5179191508878,2,279.043167453972,3,344.56108660486,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",NA,1e+06,0.034456108660486,5.35714285714286,2.12765957446809,22.2222222222222,0.00655179191508878,0.0279043167453972
"ASV1723",0,0,2,51.581251106677,2,51.581251106677,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0051581251106677,3.57142857142857,0,22.2222222222222,0,0.0051581251106677
"ASV152",1,2681.36451660956,2,1299.71318444478,3,3981.07770105434,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA,1e+06,0.398107770105434,5.35714285714286,2.12765957446809,22.2222222222222,0.268136451660956,0.129971318444478
"ASV56",9,26323.1347807756,1,400.74600409994,10,26723.8807848755,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio",NA,1e+06,2.67238807848755,17.8571428571429,19.1489361702128,11.1111111111111,2.63231347807756,0.040074600409994
"ASV53",10,8674.19616594769,3,8514.12342122871,13,17188.3195871764,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio",NA,1e+06,1.71883195871764,23.2142857142857,21.2765957446809,33.3333333333333,0.867419616594769,0.851412342122871
"ASV115",2,1127.11967879632,2,3204.18777028181,4,4331.30744907813,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter","intestinalis",1e+06,0.433130744907813,7.14285714285714,4.25531914893617,22.2222222222222,0.112711967879632,0.320418777028181
"ASV17",12,75977.2528650816,2,4923.90769877395,14,80901.1605638556,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","alactolyticus",1e+06,8.09011605638556,25,25.531914893617,22.2222222222222,7.59772528650816,0.492390769877395
"ASV72",8,23047.8989900338,2,3878.50859825522,10,26926.407588289,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,2.6926407588289,17.8571428571429,17.0212765957447,22.2222222222222,2.30478989900338,0.387850859825522
"ASV2",47,6411668.29211657,9,2126263.34018441,56,8537931.63230097,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,853.793163230097,100,100,100,641.166829211656,212.626334018441
"ASV58",12,97564.5762991464,3,2504.78240772572,15,100069.358706872,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",NA,1e+06,10.0069358706872,26.7857142857143,25.531914893617,33.3333333333333,9.75645762991464,0.250478240772572
"ASV77",13,51398.0121795293,2,2944.42672790122,15,54342.4389074305,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","hyointestinalis",1e+06,5.43424389074305,26.7857142857143,27.6595744680851,22.2222222222222,5.13980121795293,0.294442672790122
"ASV221",1,876.040297853701,2,2117.74141140662,3,2993.78170926032,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,1e+06,0.299378170926032,5.35714285714286,2.12765957446809,22.2222222222222,0.0876040297853701,0.211774141140662
"ASV807",0,0,2,121.934424034776,2,121.934424034776,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia",NA,1e+06,0.0121934424034776,3.57142857142857,0,22.2222222222222,0,0.0121934424034776
"ASV2019",1,38.550501156515,2,51.7941220948283,3,90.3446232513433,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00903446232513433,5.35714285714286,2.12765957446809,22.2222222222222,0.0038550501156515,0.00517941220948282
"ASV203",0,0,4,4171.67029513617,4,4171.67029513617,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.417167029513617,7.14285714285714,0,44.4444444444444,0,0.417167029513617
"ASV187",3,1950.3585184083,0,0,3,1950.3585184083,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.19503585184083,5.35714285714286,6.38297872340426,0,0.19503585184083,0
"ASV315",2,5242.57215364588,0,0,2,5242.57215364588,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosporobacter",NA,1e+06,0.524257215364588,3.57142857142857,4.25531914893617,0,0.524257215364588,0
"ASV111",4,9802.62181693786,0,0,4,9802.62181693786,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,0.980262181693786,7.14285714285714,8.51063829787234,0,0.980262181693786,0
"ASV310",3,1338.70284527879,3,1308.86202193677,6,2647.56486721556,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA,1e+06,0.264756486721556,10.7142857142857,6.38297872340426,33.3333333333333,0.133870284527879,0.130886202193677
"ASV1329",0,0,2,227.621675878764,2,227.621675878764,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA,1e+06,0.0227621675878764,3.57142857142857,0,22.2222222222222,0,0.0227621675878764
