"","Barcode_name","ASVs_dada2","input","filtered","denoisedF","denoisedR","merged","nochim","perc_original_sequences","perc_ASV_sequences"
"46","FLD0056",45,6936,2034,1895,1905,1646,1519,21.9002306805075,2.96247531270573
"47","FLD0057",18,7665,2798,2707,2704,2305,1812,23.6399217221135,0.993377483443709
"48","FLD0058",20,6900,2162,2057,2047,1607,1449,21,1.38026224982747
"49","FLD0060",42,5245,1858,1642,1567,1075,808,15.4051477597712,5.1980198019802
"50","FLD0061",25,4253,1178,1099,1091,994,964,22.6663531624735,2.59336099585062
"51","FLD0062",30,4255,1408,1206,1129,767,663,15.5816686251469,4.52488687782805
"52","FLD0063",6,5317,1214,1207,1211,1175,1097,20.631935301862,0.546946216955333
"53","FLD0064",49,4879,1650,1518,1453,1346,1281,26.2553802008608,3.82513661202186
"54","FLD0065",34,5895,2025,1756,1660,1171,914,15.5046649703138,3.7199124726477
"55","FLD0066",0,7,5,1,1,1,0,0,NA
"56","FLD0067",47,6576,2319,2040,1769,1040,851,12.94099756691,5.52291421856639
"57","FLD0068",20,8208,2921,2800,2780,2440,2086,25.4142300194932,0.958772770853308
"58","FLD0069",17,7494,2601,2509,2510,2227,1781,23.7656792100347,0.954519932622122
"59","FLD0070",11,5046,1972,1928,1921,1659,1297,25.7035275465715,0.848111025443331
"60","FLD0071",34,4453,1582,1358,1251,837,652,14.6418145070739,5.21472392638037
"61","FLD0072",21,2246,827,745,715,656,620,27.6046304541407,3.38709677419355
"62","FLD0073",3,283,85,78,82,70,70,24.7349823321555,4.28571428571429
"63","FLD0074",18,7956,3009,2968,2947,2426,1798,22.5992961287079,1.00111234705228
"64","FLD0077",37,5134,1749,1536,1431,970,747,14.5500584339696,4.95314591700134
"65","FLD0078",47,5849,2207,1957,1894,1296,1004,17.1653274063943,4.68127490039841
"66","FLD0080",17,7785,2971,2898,2900,2471,1963,25.2151573538857,0.86602139582272
"67","FLD0081",0,4,1,1,1,0,0,0,NA
"68","FLD0082",25,3323,1196,1102,1083,1030,1023,30.7854348480289,2.44379276637341
"69","FLD0083",15,9511,3939,3818,3840,3312,2437,25.6229628850804,0.615510874025441
"70","FLD0084",17,6190,1996,1973,1975,1908,1668,26.9466882067851,1.01918465227818
"71","FLD0085",10,1782,646,600,587,577,561,31.4814814814815,1.7825311942959
"72","FLD0086",13,7135,2662,2554,2577,2073,1672,23.4337771548704,0.777511961722488
"73","FLD0087",50,5662,1877,1663,1570,1055,867,15.312610385023,5.76701268742791
"74","FLD0088",28,7628,2154,2040,2022,1628,1358,17.8028316727845,2.06185567010309
"75","FLD0089",19,7789,2557,2437,2446,1762,1453,18.6545127744255,1.30763936682725
"76","FLD0090",42,4967,1641,1431,1405,946,716,14.4151399234951,5.8659217877095
"77","FLD0091",17,5675,1747,1662,1638,1570,1526,26.8898678414097,1.11402359108781
"78","FLD0092",13,4083,1490,1454,1449,1243,1126,27.5777614499143,1.15452930728242
"79","FLD0094",45,6120,2196,1898,1850,1088,810,13.2352941176471,5.55555555555556
"80","FLD0095",31,4147,1407,1289,1223,1141,1124,27.1039305522064,2.75800711743772
"81","FLD0096",44,4931,1723,1550,1437,971,840,17.0350841614277,5.23809523809524
"82","FLD0097",41,5707,2029,1826,1645,1132,871,15.2619589977221,4.70723306544202
"83","FLD0098",0,35,9,3,2,0,0,0,NA
"84","FLD0099",37,5005,1693,1471,1446,952,794,15.8641358641359,4.65994962216625
"85","FLD0100",35,4955,1664,1429,1312,875,767,15.4793138244198,4.5632333767927
"86","FLD0101",13,4636,1850,1676,1633,1567,1560,33.6496980155306,0.833333333333333
"87","FLD0102",22,4296,1380,1144,1115,1098,1097,25.5353817504655,2.00546946216955
"88","FLD0103",25,3484,1258,1007,953,942,934,26.8082663605052,2.67665952890792
"89","FLD0104",25,3836,1253,1018,919,566,372,9.69760166840459,6.72043010752688
"90","FLD0105",15,4074,1287,1218,1212,1181,941,23.0976926853216,1.59404888416578
"91","FLD0106",37,5231,1682,1473,1383,978,645,12.330338367425,5.73643410852713
"92","FLD0107",36,5042,1856,1620,1558,1050,877,17.393891312971,4.10490307867731
"93","FLD0108",15,6168,2072,1998,1991,1681,1371,22.227626459144,1.09409190371991
"94","FLD0109",15,4307,1576,1438,1398,1366,1357,31.5068493150685,1.10537951363301
"95","FLD0110",19,7035,2014,1989,1982,1855,1616,22.9708599857854,1.17574257425743
"96","FLD0111",48,4890,1781,1609,1508,1100,896,18.3231083844581,5.35714285714286
"97","FLD0113",27,7758,2989,2777,2746,2659,2656,34.235627739108,1.01656626506024
"98","FLD0114",23,4203,1487,1392,1385,1296,1282,30.5020223649774,1.79407176287051
"99","FLD0115",36,5558,1791,1519,1473,940,673,12.1086721842389,5.34918276374443
"100","FLD0116",15,7711,2452,2369,2387,2006,1468,19.0377382959409,1.02179836512262
"101","FLD0117",28,3475,1136,975,898,642,466,13.410071942446,6.00858369098712
"102","FLD0118",14,5898,2019,1946,1939,1495,1192,20.2102407595795,1.1744966442953
"103","FLD0119",14,1462,453,392,356,327,314,21.4774281805746,4.45859872611465
"104","FLD0120",30,4921,1847,1579,1501,940,633,12.8632391790287,4.739336492891
"105","FLD0121",16,5167,1958,1928,1910,1552,1176,22.7598219469712,1.36054421768707
"106","FLD0122",41,5646,2028,1731,1718,1099,834,14.7715196599362,4.91606714628297
"107","FLD0124",32,5791,2385,2199,2121,1506,1292,22.3104817820756,2.47678018575851
"108","FLD0125",15,3301,1245,1205,1159,1126,1043,31.5964859133596,1.43815915627996
"109","FLD0126",27,2281,754,682,620,580,562,24.6383165278387,4.80427046263345
"110","FLD0127",14,1435,467,385,368,356,356,24.808362369338,3.93258426966292
"111","FLD0128",25,2307,803,678,651,510,457,19.8092761161682,5.47045951859956
"112","FLD0129",19,4865,1657,1501,1482,1459,1454,29.8869475847893,1.30674002751032
"113","FLD0130",47,5950,2014,1756,1594,1032,882,14.8235294117647,5.32879818594104
"114","FLD0131",74,8473,2877,2621,2523,2043,1806,21.3147645462056,4.09745293466224
"115","FLD0132",23,9411,3325,3102,3024,2794,2707,28.7642120922325,0.849649057997784
"116","FLD0133",27,4062,1439,1201,1042,697,551,13.5647464303299,4.90018148820327
"117","FLD0134",37,4622,1550,1352,1278,863,739,15.9887494591086,5.00676589986468
"118","FLD0135",23,2753,746,611,571,541,531,19.2880494006538,4.33145009416196
"119","FLD0136",17,6067,2483,2382,2381,1979,1571,25.8941816383715,1.08211330362826
"120","FLD0137",34,3973,1438,1249,1124,768,603,15.1774477724641,5.63847429519071
"121","FLD0139",2,130,40,27,36,23,23,17.6923076923077,8.69565217391304
"122","FLD0140",16,5779,2439,2355,2334,2010,1993,34.4869354559612,0.802809834420472
"123","FLD0141",35,5022,1639,1407,1299,895,677,13.4806849860613,5.1698670605613
"124","FLD0142",34,4228,1477,1292,1222,793,679,16.0596026490066,5.00736377025037
"125","FLD0143",32,3053,1093,999,875,795,773,25.3193580085162,4.13971539456662
"126","FLD0144",14,5724,2188,2098,2132,1676,1358,23.7246680642907,1.03092783505155
"127","FLD0147",23,13035,5522,5440,5436,4392,4308,33.0494821634062,0.5338904363974
"128","FLD0148",28,8274,2744,2589,2595,2244,1997,24.1358472322939,1.4021031547321
"129","FLD0149",50,5933,2184,1918,1865,1203,942,15.8772964773302,5.30785562632696
"130","FLD0150",14,948,321,255,223,198,193,20.3586497890295,7.25388601036269
"131","FLD0151",28,3388,1210,1036,968,647,485,14.3152302243211,5.77319587628866
"132","FLD0152",34,4430,1624,1400,1258,902,676,15.2595936794582,5.02958579881657
"133","FLD0153",23,4114,1448,1337,1219,997,913,22.192513368984,2.51916757940854
"134","FLD0154",31,3440,1134,950,910,780,766,22.2674418604651,4.04699738903394
"135","FLD0156",40,5850,2324,2036,2008,1227,954,16.3076923076923,4.19287211740042
"136","FLD0157",33,2599,759,680,623,575,559,21.5082724124663,5.90339892665474
"137","FLD0158",25,3086,1080,909,810,579,447,14.4847699287103,5.59284116331096
"138","FLD0160",18,1879,594,533,516,467,454,24.1617881852049,3.9647577092511
"139","FLD0161",50,6960,2194,1999,1919,1734,1702,24.4540229885057,2.93772032902468
"140","FLD0162",12,2939,1199,1048,1007,1004,1004,34.1612793467166,1.19521912350598
"141","FLD0163",51,7959,3086,2770,2687,1728,1313,16.4970473677598,3.88423457730388
"142","FLD0164",34,6378,2122,2001,1967,1772,1634,25.6193164001254,2.08078335373317
"143","FLD0165",23,3954,1387,1282,1260,1048,1018,25.7460799190693,2.25933202357564
"144","FLD0166",36,5962,2240,1882,1768,1093,739,12.3951694062395,4.87144790257104
"145","FLD0167",26,2539,919,780,729,638,635,25.009846396219,4.09448818897638
"146","FLD0168",43,8828,3172,2913,2847,2667,2661,30.1427276846398,1.61593385945133
"147","FLD0169",18,11979,4485,4361,4352,3432,2333,19.4757492278153,0.771538791255894
"148","FLD0170",39,7521,2554,2416,2376,2052,1969,26.1800292514293,1.98070086338243
"149","FLD0171",27,9347,3066,2965,2950,2728,2612,27.9447951214293,1.03369065849923
"150","FLD0172",14,5234,1806,1753,1744,1448,1267,24.2071073748567,1.10497237569061
"151","FLD0173",33,4757,1796,1725,1682,1607,1594,33.5085137691823,2.0702634880803
"152","FLD0174",23,1587,544,459,419,372,360,22.6843100189036,6.38888888888889
"153","FLD0176",0,8,2,1,1,0,0,0,NA
"154","FLD0177",15,11981,5425,5363,5364,4290,4239,35.3810199482514,0.353857041755131
"155","FLD0178",30,8739,2859,2751,2682,2364,2142,24.5108135942328,1.40056022408964
"156","FLD0181",44,5950,2103,1889,1822,1214,987,16.5882352941176,4.45795339412361
"157","FLD0182",17,4208,1623,1570,1552,1470,1434,34.0779467680608,1.18549511854951
"158","FLD0183",8,5651,1457,1454,1447,1395,1312,23.2171297115555,0.609756097560976
"159","FLD0184",53,6442,2264,1993,1862,1224,992,15.3989444271965,5.34274193548387
"160","FLD0185",15,10728,3938,3766,3789,3181,2194,20.4511558538404,0.683682771194166
"161","FLD0186",24,10039,3519,3464,3433,2704,2364,23.5481621675466,1.01522842639594
"162","FLD0187",40,6985,2547,2263,2068,1471,1136,16.2634216177523,3.52112676056338
